file_path,action
./Train_Data\1_Finger_Click\Video_Test_10 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_10 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_10 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_10.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_11 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_11 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_11.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_12 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_12 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_12 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_12.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_13 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_13 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_13.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_14 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_14 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_14 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_14.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_15 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_15 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_15.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_16 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_16 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_16 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_16.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_17 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_17 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_17 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_17.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_18 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_18 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_18.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_19 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_19.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_20 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_20 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_20.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_21 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_21 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_21.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_22 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_22 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_22.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_23 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_23 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_23.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_24 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_24 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_24.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_25 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_25 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_25.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_26 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_26 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_26.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_27 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_27 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_27.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_28 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_28.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_29 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_29.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_30 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_30.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_31 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_31.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_32 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_32.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_33.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_34.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_35.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_4 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_4 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_4 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_4.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_5 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_5 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_5 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_5.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_6 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_6 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_6 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_6.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_7 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_7 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_7 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_7.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_8 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_8 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_8 (4).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_8.mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_9 (2).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_9 (3).mp4,1_Finger_Click
./Train_Data\1_Finger_Click\Video_Test_9.mp4,1_Finger_Click
./Train_Data\2_Fingers_Left\Video_Test_0.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_1.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_10 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_10 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_10.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_11 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_11 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_11.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_12 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_12 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_12.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_13 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_13 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_13.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_14 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_14 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_14.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_15 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_15 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_15.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_16 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_16 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_16.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_17 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_17 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_17.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_18 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_18 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_18.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_19 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_19 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_19.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_2.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_20 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_20 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_20.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_21 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_21 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_21.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_22 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_22 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_22.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_23 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_23 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_23.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_24 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_24 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_24.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_25 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_25 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_25.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_26 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_26 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_26.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_27 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_27.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_28 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_28 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_28.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_29 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_29.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_3.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_30 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_30.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_31 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_31.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_32 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_32.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_33 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_33.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_34 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_34.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_35.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_4 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_4 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_4 (4).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_4.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_5 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_5 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_5 (4).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_5.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_6 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_6 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_6 (4).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_6.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_7 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_7 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_7 (4).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_7.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_8 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_8 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_8.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_9 (2).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_9 (3).mp4,2_Fingers_Left
./Train_Data\2_Fingers_Left\Video_Test_9.mp4,2_Fingers_Left
./Train_Data\2_Fingers_Right\Video_Test_10 (2).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_10 (3).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_10 (4).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_10 (5).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_10.mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_11 (2).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_11 (3).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_11 (4).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_11 (5).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_11.mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_12 (2).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_12 (3).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_12 (4).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_12 (5).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_12.mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_13 (2).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_13 (3).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_13 (4).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_13 (5).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_13.mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_14 (2).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_14 (3).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_14 (4).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_14 (5).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_14.mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_15 (2).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_15 (3).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_15 (4).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_15 (5).mp4,2_Fingers_Right
./Train_Data\2_Fingers_Right\Video_Test_15.mp4,2_Fingers_Right
