file_path,action,frame_count
./Train_Data/1_Finger_Click/Video_Test_10 (2).mp4,1_Finger_Click,80
./Train_Data/1_Finger_Click/Video_Test_10 (3).mp4,1_Finger_Click,70
./Train_Data/1_Finger_Click/Video_Test_10 (4).mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_10.mp4,1_Finger_Click,75
./Train_Data/1_Finger_Click/Video_Test_11 (2).mp4,1_Finger_Click,71
./Train_Data/1_Finger_Click/Video_Test_11 (3).mp4,1_Finger_Click,72
./Train_Data/1_Finger_Click/Video_Test_11.mp4,1_Finger_Click,71
./Train_Data/1_Finger_Click/Video_Test_12 (2).mp4,1_Finger_Click,51
./Train_Data/1_Finger_Click/Video_Test_12 (3).mp4,1_Finger_Click,58
./Train_Data/1_Finger_Click/Video_Test_12 (4).mp4,1_Finger_Click,57
./Train_Data/1_Finger_Click/Video_Test_12.mp4,1_Finger_Click,71
./Train_Data/1_Finger_Click/Video_Test_13 (2).mp4,1_Finger_Click,68
./Train_Data/1_Finger_Click/Video_Test_13 (3).mp4,1_Finger_Click,74
./Train_Data/1_Finger_Click/Video_Test_13.mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_14 (2).mp4,1_Finger_Click,62
./Train_Data/1_Finger_Click/Video_Test_14 (3).mp4,1_Finger_Click,77
./Train_Data/1_Finger_Click/Video_Test_14 (4).mp4,1_Finger_Click,59
./Train_Data/1_Finger_Click/Video_Test_14.mp4,1_Finger_Click,77
./Train_Data/1_Finger_Click/Video_Test_15 (2).mp4,1_Finger_Click,62
./Train_Data/1_Finger_Click/Video_Test_15 (3).mp4,1_Finger_Click,61
./Train_Data/1_Finger_Click/Video_Test_15.mp4,1_Finger_Click,85
./Train_Data/1_Finger_Click/Video_Test_16 (2).mp4,1_Finger_Click,81
./Train_Data/1_Finger_Click/Video_Test_16 (3).mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_16 (4).mp4,1_Finger_Click,77
./Train_Data/1_Finger_Click/Video_Test_16.mp4,1_Finger_Click,64
./Train_Data/1_Finger_Click/Video_Test_17 (2).mp4,1_Finger_Click,63
./Train_Data/1_Finger_Click/Video_Test_17 (3).mp4,1_Finger_Click,70
./Train_Data/1_Finger_Click/Video_Test_17 (4).mp4,1_Finger_Click,75
./Train_Data/1_Finger_Click/Video_Test_17.mp4,1_Finger_Click,75
./Train_Data/1_Finger_Click/Video_Test_18 (2).mp4,1_Finger_Click,64
./Train_Data/1_Finger_Click/Video_Test_18 (3).mp4,1_Finger_Click,59
./Train_Data/1_Finger_Click/Video_Test_18.mp4,1_Finger_Click,64
./Train_Data/1_Finger_Click/Video_Test_19 (2).mp4,1_Finger_Click,67
